ID,vreme,domaci,gosti,1X,2
Balkan150,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.06,6.0
Volcano808,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.08,6.4
Betole169,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.07,6.4
Mozzart107,2025-07-05 20:00:00,Internacional Limeira,Cascavel,1.06,7.25
Planetwin50,2025-07-05 20:00:00,Inter De Limeira,Cascavel,1.08,6.35
Topbet124,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.07,6.1
Superbet145,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.07,6.0
Oktagon180,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.21,3.9
Soccer124,2025-07-05 20:00:00,Internacional de Limeira,Cascavel,1.03,7.2
Mystake133,2025-07-05 20:00:00,Inter de Limeira SP,Cascavel PR,1.11,5.95
