ID,vreme,domaci,gosti,GG,NG
Soccer174,2025-07-14 02:00:00,FC Tucson,Stars FC,2.17,1.6
Betole203,2025-07-14 02:00:00,Tucson,Stars FC,3.0,1.32
Volcano183,2025-07-14 02:00:00,Tucson,Stars FC,2.9,1.32
Oktagon203,2025-07-14 02:00:00,Tucson,Stars FC,2.95,1.32
Balkan196,2025-07-14 02:00:00,FC TUCSONde,Stars FC,2.25,1.5
Pinbet168,2025-07-14 02:00:00,Tucson,Stars FC,2.34,1.5
Mozzart158,2025-07-14 02:00:00,Tucson,Stars,1.0,1.0
Mystake360,2025-07-14 02:00:00, Tucson,Stars ,1.0,1.0
Superbet193,2025-07-14 02:00:00,Tucson,Stars FC,2.17,1.62
Planetwin88,2025-07-14 02:00:00,Tucson,Stars FC,1.0,1.0
Topbet177,2025-07-14 02:00:00,FC TUCSONde,Stars FC,2.7,1.42
