ID,vreme,domaci,gosti,1,1-X2,X2-X2
Mozzart0,2025-07-05 22:00:00,EC Sao Jose,Guarany Bage,1.37,1.0,3.7
Planetwin2,2025-07-05 22:00:00,Sao Jose,Guarany de Bage,1.38,1.0,1.0
Topbet2,2025-07-05 22:00:00,EC Sao Jose RS,Guarany de Bage FC,1.45,20.5,2.95
Volcano100,2025-07-05 22:00:00,Sao Jose RS,Guarany de Bagé,1.43,1.0,1.0
Betole0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.55,16.0,2.37
Oktagon0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.56,1.0,1.0
Mystake112,2025-07-05 22:00:00,Sao Jose RS,Guarany  RS,1.35,1.0,1.0
Balkan3,2025-07-05 22:00:00,EC Sao Jose RS,Guarany de Bage FC,1.38,1.0,1.0
Superbet1,2025-07-05 22:00:00,Sao Jose RS,Guarany RS,1.45,1.0,1.0
Pinbet0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.57,1.0,1.0
Soccer0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.43,14.8,2.65
