ID,vreme,domaci,gosti,II 0-1,II 2+
Volcano710,2025-07-13 20:00:00,Horizonte FC CE,Ferroviario AC CE,1.0,1.0
Balkan165,2025-07-13 20:00:00,Horizonte FC CE,Ferroviario AC CE,1.31,2.9
Oktagon168,2025-07-13 20:00:00,Horizonte,Ferroviario,1.2,3.95
Topbet137,2025-07-13 20:00:00,Horizonte FC CE,Ferroviario AC CE,1.38,2.95
Mystake168,2025-07-13 20:00:00,Horizonte CE,Ferroviario CE,1.0,1.0
Superbet157,2025-07-13 20:00:00,Horizonte CE,Ferroviario CE,1.0,1.0
Planetwin66,2025-07-13 20:00:00,Horizonte,Ferroviario,1.23,3.61
Soccer138,2025-07-13 20:00:00,Horizonte,Ferroviario,1.33,3.05
Betole168,2025-07-13 20:00:00,Horizonte,Ferroviario,1.41,2.65
