ID,vreme,domaci,gosti,2,2-1X,1X-1X
Mystake577,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,2.4,1.0,1.0
Mozzart6,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan,2.45,1.0,1.69
Balkan8,2025-06-26 13:00:00,Yunnan Yukun,Henan,2.4,1.0,1.0
Topbet6,2025-06-26 13:00:00,Yunnan Yukun,Henan,1.85,11.5,2.2
Planetwin2,2025-06-26 13:00:00,Yunnan Yukun,Henan S.L.,2.39,9.85,1.74
Betole8,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,2.3,9.75,1.75
Soccer6,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,2.4,8.7,1.75
Superbet6,2025-06-26 13:00:00,Yunnan Yukun,Henan FC,2.37,1.0,1.0
Oktagon8,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,2.38,9.7,1.71
