ID,vreme,domaci,gosti,I 0-1,I 2+
Oktagon154,2025-07-12 07:30:00,Kingborough Lions,Launceston United,2.5,1.43
Mozzart102,2025-07-12 07:30:00,Kingborough Lions,Launceston United,1.0,1.0
Planetwin29,2025-07-12 07:30:00,Kingborough,Launceston Utd,1.0,1.0
Soccer115,2025-07-12 07:30:00,Kingborough Lions,Launceston United,2.5,1.47
Betole153,2025-07-12 07:30:00,Kingborough Lions,Launceston United,2.5,1.43
Balkan141,2025-07-12 07:30:00,Kingborough Lions United FC,Launceston United SC,3.45,1.25
Volcano578,2025-07-12 07:30:00,Kingborough Lions,Launceston United,1.0,1.0
Mystake541,2025-07-12 07:30:00,Kingborough Lions,Launceston United,1.0,1.0
Superbet143,2025-07-12 07:30:00,Kingborough Lions United,Launceston United,1.0,1.0
