ID,vreme,domaci,gosti,W1,W2
Mozzart30,2025-07-13 19:15:00,Ayacucho,Cienciano,2.46,1.46
Balkan47,2025-07-13 19:15:00,Ayacucho FC,CS Cienciano,2.85,1.35
Planetwin16,2025-07-13 19:15:00,Ayacucho,Cienciano,2.12,1.62
Topbet33,2025-07-13 19:15:00,Ayacucho FC,CS Cienciano,2.49,1.36
Oktagon47,2025-07-13 19:15:00,Ayacucho,Cienciano,2.9,1.34
Mystake252,2025-07-13 19:15:00,Ayacucho,CS Cienciano,2.57,1.45
Superbet45,2025-07-13 19:15:00,Ayacucho,Cienciano,2.52,1.43
Soccer36,2025-07-13 19:15:00,Ayacucho,Cienciano,2.49,1.38
Pinbet43,2025-07-13 19:15:00,Ayacucho,Cienciano,2.78,1.34
Betole47,2025-07-13 19:15:00,Ayacucho,Cienciano,2.88,1.33
