ID,vreme,domaci,gosti,1,X2
Volcano147,2025-06-27 01:00:00,9 de Octubre FC,Gualaceo,2.75,1.37
Betole45,2025-06-27 01:00:00,Nueve de Octubre,Gualaceo,2.3,1.51
Oktagon45,2025-06-27 01:00:00,Nueve de Octubre,Gualaceo,2.32,1.52
Pinbet37,2025-06-27 01:00:00,Nueve de Octubre,Gualaceo,3.05,1.3
Mozzart40,2025-06-27 01:00:00,Nueve de Octubre,Gualaceo,2.85,1.37
Soccer44,2025-06-27 01:00:00,Nueve de Octubre,Gualaceo,2.7,1.35
Mystake603,2025-06-27 01:00:00,9 De Octubre ,Gualaceo,2.65,1.41
Superbet83,2025-06-27 01:00:00,9 De Octubre,Gualaceo,2.72,1.37
Topbet40,2025-06-27 01:00:00,9 de Octubre FC,Gualaceo SC,2.8,1.36
Balkan43,2025-06-27 01:00:00,9 de Octubre FC,Gualaceo SC,2.75,1.33
