ID,vreme,domaci,gosti,1,X2
Pinbet164,2025-07-12 12:00:00,Shaanxi Union FC,Suzhou Dongwu,2.13,1.63
Oktagon226,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.78,1.87
Soccer172,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.82,1.87
Planetwin73,2025-07-12 12:00:00,Shaanxi Union,Suzhou Don.,1.78,1.94
Superbet240,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.95,1.76
Volcano27,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.78,1.87
Betole226,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.77,1.87
Mystake799,2025-07-12 12:00:00,Shaanxi Union ,Suzhou Dongwu,1.9,1.8
Balkan207,2025-07-12 12:00:00,Shaanxi Union FC,Suzhou Dongwu,1.9,1.71
Mozzart157,2025-07-12 12:00:00,Shaanxi Union,Suzhou Jinfu,1.8,1.89
Topbet153,2025-07-12 12:00:00,Shaanxi Union FC,Suzhou Dongwu,1.9,1.71
