ID,vreme,domaci,gosti,1,X,2
Oktagon11,2025-07-13 14:00:00,Ulfstind,Ullern,2.0,4.1,2.6
Balkan16,2025-07-13 14:00:00,IL Ulfstind,Ullern,2.0,4.5,2.5
Volcano211,2025-07-13 14:00:00,Ulfstind IL,Ullern,2.0,4.1,2.6
Planetwin3,2025-07-13 14:00:00,Ulfstind,Ullern,2.02,4.21,2.65
Mystake72,2025-07-13 14:00:00,IL Ulfstind,Ullern IF,1.85,4.9,2.65
Betole12,2025-07-13 14:00:00,Ulfstind,Ullern,2.0,4.1,2.6
Mozzart9,2025-07-13 14:00:00,Ulfstind,Ullern,1.9,4.2,2.95
Superbet21,2025-07-13 14:00:00,IL Ulfstind,Ullern,1.9,4.8,2.75
Soccer13,2025-07-13 14:00:00,Ulfstind,Ullern,2.45,4.15,2.17
Topbet17,2025-07-13 14:00:00,IL Ulfstind,Ullern,1.9,4.4,2.8
