ID,vreme,domaci,gosti,1,X2
Mystake224,2025-07-05 23:30:00,AD Confianca SE,Abc ,2.6,1.46
Volcano670,2025-07-05 23:30:00,Confiança,ABC,2.9,1.34
Oktagon222,2025-07-05 23:30:00,Confianca,ABC,2.9,1.34
Balkan195,2025-07-05 23:30:00,AD Confianca SE,ABC FC RN,2.8,1.33
Topbet167,2025-07-05 23:30:00,AD Confianca SE,ABC FC RN,3.5,1.23
Soccer179,2025-07-05 23:30:00,Confianca,ABC,3.2,1.29
Betole222,2025-07-05 23:30:00,Confianca,ABC,2.73,1.38
Mozzart150,2025-07-05 23:30:00,Confianca,Abc Rn,2.85,1.37
Pinbet140,2025-07-05 23:30:00,Confianca,ABC,2.81,1.38
Superbet196,2025-07-05 23:30:00,Confianca SE,ABC RN,2.85,1.37
