ID,vreme,domaci,gosti,1,X,2
Soccer1,2025-07-05 16:00:00,Yelimay Semey,Tobol,2.42,3.1,2.85
Superbet11,2025-07-05 16:00:00,Yelimay Semey,Tobol Kostanay,2.32,3.05,2.92
Balkan4,2025-07-05 16:00:00,FC Yelimai,Tobol Kostanay,2.45,3.0,2.95
Topbet4,2025-07-05 16:00:00,FC Yelimai,Tobol Kostanay,1.95,3.2,3.5
Pinbet8,2025-07-05 16:00:00,Yelimay Semey,Tobol,2.3,3.1,3.2
Volcano249,2025-07-05 16:00:00,Elimai FC,Tobol Kostanay,2.45,2.95,2.7
Oktagon17,2025-07-05 16:00:00,Yelimay Semey,Tobol,2.47,2.95,2.7
Mystake670,2025-07-05 16:00:00,Elimai ,Tobol Kostanay,2.4,3.0,2.85
Betole25,2025-07-05 16:00:00,Yelimay Semey,Tobol,2.5,3.03,2.77
Mozzart3,2025-07-05 16:00:00,Yelimay Semey,Tobol Kostanay,2.5,3.05,2.85
Planetwin3,2025-07-05 16:00:00,Yelimay Semey,Tobol,2.75,3.06,2.51
