ID,vreme,domaci,gosti,1,X,2
Mystake138,2025-07-06 18:45:00,CEAC Araruama,America RJ,3.45,2.5,2.35
Betole103,2025-07-06 18:45:00,CEAC/Araruama,America RJ,3.6,2.62,2.22
Topbet78,2025-07-06 18:45:00,Araruama FC RJ,America FC RJ,4.2,2.55,2.1
Oktagon103,2025-07-06 18:45:00,CEAC/Araruama,America RJ,3.5,2.6,2.28
Pinbet78,2025-07-06 18:45:00,CEAC/Araruama,America RJ,3.85,2.56,2.28
Balkan98,2025-07-06 18:45:00,Araruama FC RJ,America FC RJ,2.85,2.9,2.35
Mozzart76,2025-07-06 18:45:00,Araruama,America RJ,3.45,2.55,2.45
Soccer82,2025-07-06 18:45:00,CEAC/Araruama,America RJ,3.45,2.5,2.38
Volcano491,2025-07-06 18:45:00,CEAC / Araruama,America RJ,3.6,2.62,2.22
Superbet84,2025-07-06 18:45:00,CEAC/Araruama,America RJ,3.45,2.52,2.42
