ID,vreme,domaci,gosti,1,1-X2,X2-X2
Soccer1,2025-07-05 16:00:00,Yelimay Semey,Tobol,2.47,9.0,1.62
Superbet11,2025-07-05 16:00:00,Yelimay Semey,Tobol Kostanay,2.32,1.0,1.0
Balkan4,2025-07-05 16:00:00,FC Yelimai,Tobol Kostanay,2.5,1.0,1.0
Topbet4,2025-07-05 16:00:00,FC Yelimai,Tobol Kostanay,1.95,13.0,2.0
Pinbet8,2025-07-05 16:00:00,Yelimay Semey,Tobol,2.54,1.0,1.0
Volcano249,2025-07-05 16:00:00,Elimai FC,Tobol Kostanay,2.45,1.0,1.0
Oktagon17,2025-07-05 16:00:00,Yelimay Semey,Tobol,2.47,10.9,1.63
Mystake670,2025-07-05 16:00:00,Elimai ,Tobol Kostanay,2.4,1.0,1.0
Betole25,2025-07-05 16:00:00,Yelimay Semey,Tobol,2.5,11.0,1.63
Mozzart3,2025-07-05 16:00:00,Yelimay Semey,Tobol Kostanay,2.55,1.0,1.62
Planetwin3,2025-07-05 16:00:00,Yelimay Semey,Tobol,2.75,10.4,1.54
