ID,vreme,domaci,gosti,W1,W2
Superbet6,2025-06-26 13:00:00,Yunnan Yukun,Henan FC,1.97,1.74
Topbet6,2025-06-26 13:00:00,Yunnan Yukun,Henan,2.66,1.31
Betole8,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,1.95,1.72
Mystake576,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,2.04,1.79
Planetwin2,2025-06-26 13:00:00,Yunnan Yukun,Henan S.L.,1.95,1.77
Oktagon8,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,1.98,1.71
Soccer6,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,2.05,1.67
Mozzart6,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan,1.92,1.74
Balkan8,2025-06-26 13:00:00,Yunnan Yukun,Henan,1.95,1.75
