ID,vreme,domaci,gosti,1X,2
Superbet6,2025-06-26 13:00:00,Yunnan Yukun,Henan FC,1.52,2.37
Topbet6,2025-06-26 13:00:00,Yunnan Yukun,Henan,1.77,1.85
Betole8,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,1.53,2.3
Mystake576,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,1.6,2.4
Planetwin2,2025-06-26 13:00:00,Yunnan Yukun,Henan S.L.,1.53,2.39
Oktagon8,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,1.54,2.3
Soccer6,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,1.6,2.28
Mozzart6,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan,1.49,2.45
Balkan8,2025-06-26 13:00:00,Yunnan Yukun,Henan,1.5,2.4
