ID,vreme,domaci,gosti,W1,W2
Betole121,2025-06-26 02:00:00,Inter,River Plate,1.55,2.25
Pinbet109,2025-06-26 02:00:00,Inter,River Plate,1.57,2.37
Maxbet101,2025-06-26 02:00:00,Inter,River Plate,1.58,2.38
Topbet100,2025-06-26 02:00:00,Inter Milano,CA River Plate (ARG),1.47,2.14
Soccer106,2025-06-26 02:00:00,Inter,River Plate,1.51,2.53
Mystake733,2025-06-26 02:00:00,Inter Milan,CA River Plate (ARG),1.48,2.73
Volcano706,2025-06-26 02:00:00,Inter M.,River Plate,1.47,2.5
Mozzart88,2025-06-26 02:00:00,Inter,River Plate,1.55,2.45
Superbet135,2025-06-26 02:00:00,Inter Milano,CA River Plate,1.48,2.6
Oktagon121,2025-06-26 02:00:00,Inter,River Plate,1.56,2.25
Balkan110,2025-06-26 02:00:00,Inter Milano,CA River Plate (ARG),1.5,2.6
Planetwin42,2025-06-26 02:00:00,Inter,River Plate,1.55,2.42
