ID,vreme,domaci,gosti,G II 0-1,G II 2+
Mozzart193,2025-07-12 15:00:00,Volsungur,Njardvik,1.36,2.65
Mystake122,2025-07-12 15:00:00,IF Volsungur,Njardvik,1.0,1.0
Volcano771,2025-07-12 15:00:00,Völsungur,Njardvik,1.0,1.0
Superbet283,2025-07-12 15:00:00,Volsungur,Njardvik,1.0,1.0
Topbet189,2025-07-12 15:00:00,Volsungur,UMF Njardvik,1.65,2.1
Betole271,2025-07-12 15:00:00,Volsungur,Njardvik,1.47,2.45
Soccer192,2025-07-12 15:00:00,Volsungur,Njardvik,1.6,2.15
Balkan241,2025-07-12 15:00:00,Volsungur,UMF Njardvik,1.0,2.15
Planetwin84,2025-07-12 15:00:00,Volsungur,Njardvik,1.51,2.36
Oktagon270,2025-07-12 15:00:00,Volsungur,Njardvik,1.46,2.45
Pinbet186,2025-07-12 15:00:00,Volsungur,Njardvik,1.0,1.0
