ID,vreme,domaci,gosti,ug 0-1,ug 2+
Betole9,2025-06-25 14:00:00,Orbit College,Cape Town City,1.85,1.85
Balkan8,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,2.1,1.65
Pinbet3,2025-06-25 14:00:00,Orbit College,Cape Town City,1.95,1.86
Oktagon9,2025-06-25 14:00:00,Orbit College,Cape Town City,1.84,1.86
Mystake643,2025-06-25 14:00:00,Orbit College ,Cape Town City,1.0,1.0
Soccer8,2025-06-25 14:00:00,Orbit College,Cape Town City,2.0,1.72
Volcano411,2025-06-25 14:00:00,Orbit College FC,Cape Town City,1.0,1.0
Mozzart5,2025-06-25 14:00:00,Orbit College,Cape Town City FC,2.19,1.6
Topbet9,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,1.95,1.75
Planetwin2,2025-06-25 14:00:00,Orbit College,Cape Town City,1.81,1.83
