ID,vreme,domaci,gosti,1&3+,ne1&3+
Soccer70,2025-07-09 19:30:00,Flint,Buckley,8.5,1.0
Oktagon74,2025-07-09 19:30:00,Flint,Buckley,1.83,1.0
Volcano56,2025-07-09 19:30:00,Flint,Buckley T.,1.0,1.0
Betole72,2025-07-09 19:30:00,Flint,Buckley,1.83,1.81
