ID,vreme,domaci,gosti,GG,NG
Soccer77,2025-07-13 18:00:00,Sheriff Tiraspol,Balti,2.35,1.52
Mozzart73,2025-07-13 18:00:00,Sheriff Tiraspol,Balti,3.2,1.3
Oktagon88,2025-07-13 18:00:00,Sheriff Tiraspol,Balti,2.55,1.4
Pinbet71,2025-07-13 18:00:00,Sheriff Tiraspol,Balti,2.56,1.43
Betole89,2025-07-13 18:00:00,Sheriff Tiraspol,Balti,2.57,1.4
Superbet86,2025-07-13 18:00:00,Sheriff Tiraspol,Balti,2.87,1.37
Volcano486,2025-07-13 18:00:00,Sheriff Tiraspol,FC Balti,2.5,1.4
Topbet80,2025-07-13 18:00:00,FC Sheriff Tiraspol,FC Balti,1.0,1.0
Balkan94,2025-07-13 18:00:00,FC Sheriff Tiraspol,FC Balti,2.45,1.45
Mystake673,2025-07-13 18:00:00,Sheriff Tiraspol,Balti,1.0,1.0
