ID,vreme,domaci,gosti,I 0-2,I 3+
Mystake541,2025-07-12 07:30:00,Kingborough Lions,Launceston United,1.0,1.0
Betole153,2025-07-12 07:30:00,Kingborough Lions,Launceston United,1.45,2.4
Soccer115,2025-07-12 07:30:00,Kingborough Lions,Launceston United,1.5,1.0
Superbet143,2025-07-12 07:30:00,Kingborough Lions United,Launceston United,1.0,1.0
Volcano578,2025-07-12 07:30:00,Kingborough Lions,Launceston United,1.0,1.0
Balkan141,2025-07-12 07:30:00,Kingborough Lions United FC,Launceston United SC,1.8,1.75
Planetwin29,2025-07-12 07:30:00,Kingborough,Launceston Utd,1.0,1.0
Oktagon154,2025-07-12 07:30:00,Kingborough Lions,Launceston United,1.46,2.4
Mozzart102,2025-07-12 07:30:00,Kingborough Lions,Launceston United,1.0,1.0
