ID,vreme,domaci,gosti,1,1-X2,X2-X2
Betole37,2025-06-26 23:30:00,Tigre,Banfield,2.62,13.0,1.55
Mozzart30,2025-06-26 23:30:00,Tigre,Banfield,2.5,1.0,1.62
Oktagon37,2025-06-26 23:30:00,Tigre,Banfield,2.6,13.0,1.54
Mystake485,2025-06-26 23:30:00,CA Tigre,Banfield,2.55,1.0,1.0
Soccer34,2025-06-26 23:30:00,Tigre,Banfield,2.65,10.9,1.55
Superbet65,2025-06-26 23:30:00,CA Tigre,CA Banfield,2.52,1.0,1.0
Pinbet29,2025-06-26 23:30:00,Tigre,Banfield,2.61,1.0,1.0
Topbet33,2025-06-26 23:30:00,CA Tigre,CA Banfield,2.2,16.5,1.78
Volcano749,2025-06-26 23:30:00,CA Tigre,Banfield,2.6,1.0,1.0
Balkan32,2025-06-26 23:30:00,CA Tigre,CA Banfield,2.9,1.0,1.0
