ID,vreme,domaci,gosti,1,X,2
Topbet47,2025-07-02 00:30:00,South Carolina United Bantams,Charlotte Independence 2,3.1,3.7,1.95
Mystake267,2025-07-02 00:30:00,South Carolina United ,Charlotte Independence 2,3.15,3.7,1.95
Planetwin11,2025-07-02 00:30:00,United Bantams,Charlotte Ind. (2),4.42,3.37,1.7
Superbet55,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,2.77,3.6,2.17
Betole63,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,3.95,3.7,1.7
Soccer53,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,3.1,3.65,1.95
Mozzart47,2025-07-02 00:30:00,United Bantams,Charlotte II,3.15,3.7,1.95
Oktagon62,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,3.95,3.7,1.7
Pinbet48,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,3.1,3.6,1.97
Volcano242,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,3.95,3.7,1.7
Balkan51,2025-07-02 00:30:00,South Carolina United Bantams,Charlotte Independence 2,3.45,3.75,1.8
