ID,vreme,domaci,gosti,1,X2
Oktagon11,2025-07-13 14:00:00,Ulfstind,Ullern,2.47,1.41
Balkan16,2025-07-13 14:00:00,IL Ulfstind,Ullern,2.5,1.38
Volcano211,2025-07-13 14:00:00,Ulfstind IL,Ullern,2.45,1.41
Planetwin3,2025-07-13 14:00:00,Ulfstind,Ullern,2.52,1.44
Mystake72,2025-07-13 14:00:00,IL Ulfstind,Ullern IF,1.85,1.8
Betole12,2025-07-13 14:00:00,Ulfstind,Ullern,2.47,1.4
Mozzart9,2025-07-13 14:00:00,Ulfstind,Ullern,2.1,1.61
Superbet21,2025-07-13 14:00:00,IL Ulfstind,Ullern,2.0,1.67
Soccer13,2025-07-13 14:00:00,Ulfstind,Ullern,2.6,1.38
Topbet17,2025-07-13 14:00:00,IL Ulfstind,Ullern,2.0,1.69
