ID,vreme,domaci,gosti,1,1-X2,X2-X2
Mozzart0,2025-07-05 20:00:00,Internacional Limeira,Cascavel,1.57,1.0,2.9
Topbet16,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.58,16.5,2.6
Volcano678,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.58,1.0,1.0
Planetwin4,2025-07-05 20:00:00,Inter De Limeira,Cascavel,1.53,1.0,1.0
Pinbet9,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.59,1.0,1.0
Betole9,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.57,14.0,2.4
Mystake115,2025-07-05 20:00:00,Inter de Limeira SP,Cascavel PR,1.55,1.0,1.0
Balkan15,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.55,1.0,1.0
Soccer4,2025-07-05 20:00:00,Internacional de Limeira,Cascavel,1.62,11.4,2.25
Superbet15,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.59,1.0,1.0
Oktagon12,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.91,1.0,1.0
