ID,vreme,domaci,gosti,ug 0-3,ug 4+
Balkan26,2025-07-08 19:30:00,Stamford AFC,Peterborough United,2.1,1.65
Volcano225,2025-07-08 19:30:00,Stamford,Peterborough Utd.,1.0,1.0
Soccer31,2025-07-08 19:30:00,Stamford,Peterborough,2.02,1.7
Pinbet29,2025-07-08 19:30:00,Stamford,Peterborough,2.2,1.57
Superbet20,2025-07-08 19:30:00,Stamford,Peterborough United,1.0,1.0
Topbet24,2025-07-08 19:30:00,Stamford AFC,Peterborough United,1.74,1.94
Mozzart27,2025-07-08 19:30:00,Stamford,Peterborough,1.98,1.65
Oktagon16,2025-07-08 19:30:00,Stamford,Peterborough,2.18,1.59
Mystake656,2025-07-08 19:30:00,Stamford,Peterborough United,1.0,1.0
Betole17,2025-07-08 19:30:00,Stamford,Peterborough,2.15,1.6
