ID,vreme,domaci,gosti,GG,NG
Soccer37,2025-06-26 19:15:00,Belgium Wom.,Greece Wom.,2.4,1.5
Mystake16,2025-06-26 19:15:00,Belgium W.,Greece W.,1.0,1.0
Betole38,2025-06-26 19:15:00,Belgium Wom.,Greece Wom.,2.65,1.4
Balkan36,2025-06-26 19:15:00,Belgium,Greece,2.55,1.45
Mozzart32,2025-06-26 19:15:00,Belgium W,Greece W,2.45,1.5
Oktagon38,2025-06-26 19:15:00,Belgium Wom.,Greece Wom.,2.62,1.4
Topbet34,2025-06-26 19:15:00,Belgium,Greece,2.95,1.38
Planetwin11,2025-06-26 19:15:00,Belgium (W),Greece (W),3.81,1.2
