ID,vreme,domaci,gosti,W1,W2
Mystake132,2025-07-06 20:00:00,Parnahyba PI,Iguatu CE,1.72,1.93
Topbet122,2025-07-06 20:00:00,Parnahyba SC PI,Iguatu CE,1.0,1.0
Mozzart117,2025-07-06 20:00:00,Parnahyba,Iguatu CE,1.57,2.19
Volcano182,2025-07-06 20:00:00,Parnahyba PI,Iguatu CE,1.93,1.73
Planetwin63,2025-07-06 20:00:00,Parnahyba,Iguatu,1.72,1.95
Superbet126,2025-07-06 20:00:00,Parnahyba,Iguatu CE,1.63,2.02
Balkan147,2025-07-06 20:00:00,Parnahyba SC PI,Iguatu CE,1.0,1.0
Oktagon149,2025-07-06 20:00:00,Parnahyba,Iguatu,1.0,1.0
Soccer128,2025-07-06 20:00:00,Parnahyba,Iguatu,1.8,1.63
Betole149,2025-07-06 20:00:00,Parnahyba,Iguatu,1.92,1.73
