ID,vreme,domaci,gosti,ug 0-1,ug 2+
Betole164,2025-07-13 20:00:00,Horizonte,Ferroviario,2.4,1.5
Balkan165,2025-07-13 20:00:00,Horizonte FC CE,Ferroviario AC CE,2.3,1.48
Soccer135,2025-07-13 20:00:00,Horizonte,Ferroviario,2.15,1.62
Mystake168,2025-07-13 20:00:00,Horizonte CE,Ferroviario CE,1.0,1.0
Planetwin62,2025-07-13 20:00:00,Horizonte,Ferroviario,1.9,1.78
Mozzart115,2025-07-13 20:00:00,Horizonte CE,Ferroviario CE,2.19,1.6
Topbet137,2025-07-13 20:00:00,Horizonte FC CE,Ferroviario AC CE,2.15,1.62
Oktagon164,2025-07-13 20:00:00,Horizonte,Ferroviario,2.47,1.46
Volcano710,2025-07-13 20:00:00,Horizonte FC CE,Ferroviario AC CE,1.0,1.0
Superbet156,2025-07-13 20:00:00,Horizonte CE,Ferroviario CE,1.0,1.0
