ID,vreme,domaci,gosti,W1,W2
Balkan47,2025-07-13 19:15:00,Ayacucho FC,CS Cienciano,2.5,1.45
Pinbet43,2025-07-13 19:15:00,Ayacucho,Cienciano,2.78,1.34
Mozzart30,2025-07-13 19:15:00,Ayacucho,Cienciano,2.35,1.5
Superbet45,2025-07-13 19:15:00,Ayacucho,Cienciano,2.45,1.45
Topbet33,2025-07-13 19:15:00,Ayacucho FC,CS Cienciano,2.3,1.4
Soccer36,2025-07-13 19:15:00,Ayacucho,Cienciano,2.4,1.41
Betole47,2025-07-13 19:15:00,Ayacucho,Cienciano,2.35,1.5
Mystake251,2025-07-13 19:15:00,Ayacucho,CS Cienciano,2.49,1.47
Oktagon47,2025-07-13 19:15:00,Ayacucho,Cienciano,2.38,1.5
Planetwin16,2025-07-13 19:15:00,Ayacucho,Cienciano,2.12,1.62
