ID,vreme,domaci,gosti,GG,NG
Oktagon6,2025-06-25 14:00:00,Orbit College,Cape Town City,2.65,1.41
Soccer4,2025-06-25 14:00:00,Orbit College,Cape Town City,2.6,1.43
Balkan4,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,2.4,1.49
Betole6,2025-06-25 14:00:00,Orbit College,Cape Town City,2.67,1.4
Pinbet0,2025-06-25 14:00:00,Orbit College,Cape Town City,2.71,1.45
Mystake639,2025-06-25 14:00:00,Orbit College ,Cape Town City,2.6,1.48
Volcano410,2025-06-25 14:00:00,Orbit College FC,Cape Town City,2.62,1.41
Planetwin0,2025-06-25 14:00:00,Orbit College,Cape Town City,2.59,1.39
Topbet6,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,2.7,1.42
Mozzart3,2025-06-25 14:00:00,Orbit College,Cape Town City FC,2.2,1.6
