ID,vreme,domaci,gosti,1,X,2
Betole9,2025-06-25 14:00:00,Orbit College,Cape Town City,3.55,2.57,2.4
Mystake638,2025-06-25 14:00:00,Orbit College ,Cape Town City,3.35,2.8,2.45
Volcano410,2025-06-25 14:00:00,Orbit College FC,Cape Town City,3.45,2.62,2.38
Balkan11,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,3.4,2.65,2.45
Pinbet3,2025-06-25 14:00:00,Orbit College,Cape Town City,3.75,2.62,2.45
Topbet12,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,3.6,2.6,2.2
Oktagon9,2025-06-25 14:00:00,Orbit College,Cape Town City,3.55,2.55,2.4
Mozzart5,2025-06-25 14:00:00,Orbit College,Cape Town City FC,3.2,3.0,2.3
Soccer8,2025-06-25 14:00:00,Orbit College,Cape Town City,3.3,2.65,2.45
Planetwin2,2025-06-25 14:00:00,Orbit College,Cape Town City,3.5,2.45,2.53
