ID,vreme,domaci,gosti,GG,NG
Topbet15,2025-07-01 17:15:00,NK Radomlje,GNK Dinamo Zagreb,2.25,1.58
Pinbet14,2025-07-01 17:15:00,Radomlje,D. Zagreb,2.0,1.7
Mozzart14,2025-07-01 17:15:00,Radomlje,Dinamo Zagreb,1.87,1.73
Oktagon18,2025-07-01 17:15:00,Radomlje,D. Zagreb,2.03,1.66
Volcano118,2025-07-01 17:15:00,Radomlje,Dinamo Zagreb,2.02,1.66
Superbet17,2025-07-01 17:15:00,Radomlje,Dinamo Zagreb,2.05,1.69
Balkan15,2025-07-01 17:15:00,NK Radomlje,GNK Dinamo Zagreb,2.15,1.55
Betole19,2025-07-01 17:15:00,Radomlje,D. Zagreb,2.05,1.65
Mystake547,2025-07-01 17:15:00,NK Radomlje,Dinamo Zagreb,2.04,1.69
Soccer15,2025-07-01 17:15:00,Radomlje,Dinamo Zagreb,1.8,1.9
