ID,vreme,domaci,gosti,ug 0-2,ug 3+
Betole164,2025-07-13 20:00:00,Horizonte,Ferroviario,1.42,2.6
Balkan165,2025-07-13 20:00:00,Horizonte FC CE,Ferroviario AC CE,1.42,2.45
Soccer135,2025-07-13 20:00:00,Horizonte,Ferroviario,1.37,2.85
Mystake168,2025-07-13 20:00:00,Horizonte CE,Ferroviario CE,1.0,1.0
Planetwin62,2025-07-13 20:00:00,Horizonte,Ferroviario,1.24,3.58
Mozzart115,2025-07-13 20:00:00,Horizonte CE,Ferroviario CE,1.41,2.7
Topbet137,2025-07-13 20:00:00,Horizonte FC CE,Ferroviario AC CE,1.38,2.85
Oktagon164,2025-07-13 20:00:00,Horizonte,Ferroviario,1.45,2.5
Volcano710,2025-07-13 20:00:00,Horizonte FC CE,Ferroviario AC CE,1.0,1.0
Superbet156,2025-07-13 20:00:00,Horizonte CE,Ferroviario CE,1.0,1.0
