ID,vreme,domaci,gosti,GG,NG
Oktagon21,2025-07-13 18:00:00,Sheriff Tiraspol,Balti,2.75,1.34
Topbet19,2025-07-13 18:00:00,FC Sheriff Tiraspol,FC Balti,1.0,1.0
Balkan25,2025-07-13 18:00:00,FC Sheriff Tiraspol,FC Balti,2.45,1.45
Soccer21,2025-07-13 18:00:00,Sheriff Tiraspol,Balti,2.35,1.52
Mystake661,2025-07-13 18:00:00,Sheriff Tiraspol,Balti,1.0,1.0
Betole20,2025-07-13 18:00:00,Sheriff Tiraspol,Balti,2.8,1.33
Pinbet19,2025-07-13 18:00:00,Sheriff Tiraspol,Balti,2.79,1.37
Superbet21,2025-07-13 18:00:00,Sheriff Tiraspol,Balti,2.5,1.47
Mozzart19,2025-07-13 18:00:00,Sheriff Tiraspol,Balti,3.2,1.3
