ID,vreme,domaci,gosti,D II 0-1,D II 2+
Balkan29,2025-07-06 13:00:00,IFK Goteborg,IK Sirius,1.3,3.25
Mozzart22,2025-07-06 13:00:00,Goteborg,Sirius,1.26,3.5
Superbet24,2025-07-06 13:00:00,IFK Goteborg,Sirius,1.0,1.0
Oktagon34,2025-07-06 13:00:00,IFK Goteborg,IK Sirius FK,1.27,3.35
Pinbet21,2025-07-06 13:00:00,Goteborg,Sirius,1.0,1.0
Topbet22,2025-07-06 13:00:00,IFK Goteborg,IK Sirius,1.42,2.95
Mystake94,2025-07-06 13:00:00,Goteborg,Sirius,1.0,1.0
Soccer26,2025-07-06 13:00:00,Goteborg,Sirius,1.35,2.9
Volcano278,2025-07-06 13:00:00,IFK Göteborg,IK Sirius FK,1.0,1.0
Betole30,2025-07-06 13:00:00,Goteborg,Sirius,1.33,3.0
