ID,vreme,domaci,gosti,1&3+,ne1&3+
Betole60,2025-07-13 17:30:00,Hertha Berlin,Basaksehir,4.95,1.12
Mozzart50,2025-07-13 17:30:00,Hertha,Basaksehir,2.75,1.34
Soccer53,2025-07-13 17:30:00,Hertha Berlin,Basaksehir,4.5,1.0
Oktagon58,2025-07-13 17:30:00,Hertha Berlin,Basaksehir,3.7,1.0
Volcano600,2025-07-13 17:30:00,Hertha,Basaksehir,1.0,1.0
Pinbet48,2025-07-13 17:30:00,Hertha Berlin,Basaksehir,1.0,1.0
