ID,vreme,domaci,gosti,GG,NG
Betole28,2025-06-26 19:15:00,Belgium Wom.,Greece Wom.,2.62,1.4
Volcano740,2025-06-26 19:15:00,w/Belgium,w/Greece,2.55,1.41
Balkan25,2025-06-26 19:15:00,Belgium,Greece,2.55,1.45
Planetwin8,2025-06-26 19:15:00,Belgium (W),Greece (W),2.68,1.39
Soccer26,2025-06-26 19:15:00,Belgium Wom.,Greece Wom.,2.4,1.5
Mozzart23,2025-06-26 19:15:00,Belgium W,Greece W,2.2,1.6
Topbet26,2025-06-26 19:15:00,Belgium,Greece,2.95,1.38
Oktagon28,2025-06-26 19:15:00,Belgium Wom.,Greece Wom.,2.62,1.4
Pinbet21,2025-06-26 19:15:00,Belgium W,Greece W,2.57,1.42
Mystake26,2025-06-26 19:15:00,Belgium W.,Greece W.,2.32,1.5
