ID,vreme,domaci,gosti,I 1X,I 2
Balkan26,2025-07-08 19:30:00,Stamford AFC,Peterborough United,1.0,1.16
Oktagon16,2025-07-08 19:30:00,Stamford,Peterborough,3.4,1.24
Betole17,2025-07-08 19:30:00,Stamford,Peterborough,3.35,1.25
Pinbet29,2025-07-08 19:30:00,Stamford,Peterborough,1.0,1.0
Superbet20,2025-07-08 19:30:00,Stamford,Peterborough United,1.0,1.0
Volcano225,2025-07-08 19:30:00,Stamford,Peterborough Utd.,1.0,1.0
Mozzart27,2025-07-08 19:30:00,Stamford,Peterborough,3.6,1.18
Topbet24,2025-07-08 19:30:00,Stamford AFC,Peterborough United,1.0,1.44
Soccer31,2025-07-08 19:30:00,Stamford,Peterborough,1.0,1.3
Mystake656,2025-07-08 19:30:00,Stamford,Peterborough United,1.0,1.0
