ID,vreme,domaci,gosti,ug 0-4,ug 5+
Volcano470,2025-06-25 13:30:00,Chitipa United,Songwe Border United FC,1.0,1.0
Balkan24,2025-06-25 13:30:00,Chitipa United,Songwe Border United FC,1.0,1.0
Soccer21,2025-06-25 13:30:00,Chitipa United,Songwe Border,1.07,6.6
Betole20,2025-06-25 13:30:00,Chitipa United,Songwe Border,1.0,1.0
Topbet23,2025-06-25 13:30:00,Chitipa United,Songwe Border United FC,1.18,4.47
Oktagon20,2025-06-25 13:30:00,Chitipa United,Songwe Border,1.0,1.0
