ID,vreme,domaci,gosti,1,X2
Topbet47,2025-07-02 00:30:00,South Carolina United Bantams,Charlotte Independence 2,3.1,1.28
Mystake267,2025-07-02 00:30:00,South Carolina United ,Charlotte Independence 2,3.15,1.32
Planetwin11,2025-07-02 00:30:00,United Bantams,Charlotte Ind. (2),4.42,1.16
Superbet55,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,2.77,1.35
Betole63,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,3.95,1.19
Soccer53,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,3.1,1.27
Mozzart47,2025-07-02 00:30:00,United Bantams,Charlotte II,3.15,1.28
Oktagon62,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,3.95,1.2
Pinbet48,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,3.1,1.29
Volcano242,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,3.95,1.2
Balkan51,2025-07-02 00:30:00,South Carolina United Bantams,Charlotte Independence 2,3.45,1.22
