ID,vreme,domaci,gosti,GG,NG
Betole9,2025-06-25 14:00:00,Orbit College,Cape Town City,2.93,1.35
Mystake638,2025-06-25 14:00:00,Orbit College ,Cape Town City,2.63,1.47
Volcano410,2025-06-25 14:00:00,Orbit College FC,Cape Town City,2.7,1.39
Balkan11,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,2.4,1.49
Pinbet3,2025-06-25 14:00:00,Orbit College,Cape Town City,2.95,1.39
Topbet12,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,2.6,1.45
Oktagon9,2025-06-25 14:00:00,Orbit College,Cape Town City,2.88,1.35
Mozzart5,2025-06-25 14:00:00,Orbit College,Cape Town City FC,2.2,1.6
Soccer8,2025-06-25 14:00:00,Orbit College,Cape Town City,2.4,1.5
Planetwin2,2025-06-25 14:00:00,Orbit College,Cape Town City,2.66,1.37
