ID,vreme,domaci,gosti,II 0-1,II 2+
Betole9,2025-06-25 14:00:00,Orbit College,Cape Town City,1.22,3.85
Mystake638,2025-06-25 14:00:00,Orbit College ,Cape Town City,1.0,1.0
Volcano410,2025-06-25 14:00:00,Orbit College FC,Cape Town City,1.0,1.0
Balkan11,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,1.3,3.05
Pinbet3,2025-06-25 14:00:00,Orbit College,Cape Town City,1.0,1.0
Topbet12,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,1.32,3.25
Oktagon9,2025-06-25 14:00:00,Orbit College,Cape Town City,1.22,3.85
Mozzart5,2025-06-25 14:00:00,Orbit College,Cape Town City FC,1.41,2.7
Soccer8,2025-06-25 14:00:00,Orbit College,Cape Town City,1.31,3.15
Planetwin2,2025-06-25 14:00:00,Orbit College,Cape Town City,1.23,3.52
