ID,vreme,domaci,gosti,GG3+,ne GG3+
Oktagon49,2025-07-11 15:00:00,Regensburg,Unterhaching,2.9,1.0
Volcano371,2025-07-11 15:00:00,SSV Jahn Regensburg,SpVgg Unterhaching,2.88,1.0
Betole52,2025-07-11 15:00:00,Regensburg,Unterhaching,2.95,1.25
Mystake735,2025-07-11 15:00:00,Regensburg,Unterhaching,1.0,1.0
Superbet42,2025-07-11 15:00:00,Jahn Regensburg,Unterhaching,2.17,1.62
