ID,vreme,domaci,gosti,D II 0-1,D II 2+
Topbet22,2025-07-06 13:00:00,IFK Goteborg,IK Sirius,1.42,2.95
Volcano278,2025-07-06 13:00:00,IFK Göteborg,IK Sirius FK,1.0,1.0
Balkan29,2025-07-06 13:00:00,IFK Goteborg,IK Sirius,1.3,3.25
Betole30,2025-07-06 13:00:00,Goteborg,Sirius,1.31,3.1
Pinbet21,2025-07-06 13:00:00,Goteborg,Sirius,1.0,1.0
Mozzart22,2025-07-06 13:00:00,Goteborg,Sirius,1.26,3.5
Oktagon34,2025-07-06 13:00:00,IFK Goteborg,IK Sirius FK,1.27,3.35
Superbet24,2025-07-06 13:00:00,IFK Goteborg,Sirius,1.0,1.0
Mystake94,2025-07-06 13:00:00,Goteborg,Sirius,1.0,1.0
Soccer26,2025-07-06 13:00:00,Goteborg,Sirius,1.35,2.9
