ID,vreme,domaci,gosti,GG,NG
Topbet107,2025-06-26,Real Central New Jersey,LVU Rush,1.9,1.8
Soccer111,2025-06-26,RC New Jersey,LVU Rush,1.88,1.8
Volcano210,2025-06-26,Real Central New Jersey,LVU Rush,1.99,1.69
Mozzart92,2025-06-26,RC New Jersey,LVU Rush,1.75,1.85
Betole109,2025-06-26,RC New Jersey,LVU Rush,2.02,1.67
Oktagon109,2025-06-26,RC New Jersey,LVU Rush,2.0,1.69
Pinbet93,2025-06-26,RC New Jersey,LVU Rush,1.85,1.76
Planetwin30,2025-06-26,RC New Jersey,LVU Rush,2.03,1.66
Balkan116,2025-06-26,Real Central New Jersey,LVU Rush,1.65,2.0
