ID,vreme,domaci,gosti,ug 0-2,ug 3+
Volcano470,2025-06-25 13:30:00,Chitipa United,Songwe Border United FC,1.0,1.0
Balkan24,2025-06-25 13:30:00,Chitipa United,Songwe Border United FC,1.98,1.65
Soccer21,2025-06-25 13:30:00,Chitipa United,Songwe Border,1.77,1.95
Betole20,2025-06-25 13:30:00,Chitipa United,Songwe Border,2.07,1.65
Topbet23,2025-06-25 13:30:00,Chitipa United,Songwe Border United FC,2.2,1.6
Oktagon20,2025-06-25 13:30:00,Chitipa United,Songwe Border,2.07,1.66
