ID,vreme,domaci,gosti,W1,W2
Planetwin11,2025-07-02 00:30:00,United Bantams,Charlotte Ind. (2),2.91,1.33
Mozzart47,2025-07-02 00:30:00,United Bantams,Charlotte II,2.85,1.3
Mystake267,2025-07-02 00:30:00,South Carolina United ,Charlotte Independence 2,3.04,1.3
Soccer53,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,2.78,1.26
Betole63,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,1.0,1.0
Pinbet47,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,3.3,1.24
Balkan51,2025-07-02 00:30:00,South Carolina United Bantams,Charlotte Independence 2,1.0,1.0
Superbet55,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,2.15,1.55
Volcano242,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,2.8,1.36
Oktagon62,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,1.0,1.0
Topbet47,2025-07-02 00:30:00,South Carolina United Bantams,Charlotte Independence 2,1.0,1.0
