ID,vreme,domaci,gosti,1,X2
Volcano455,2025-07-06,Chattanooga Red Wolves,One Knoxville,3.25,1.28
Pinbet3,2025-07-06,Chattanooga Red Wolves,One Knoxville,3.95,1.21
Betole3,2025-07-06,Chattanooga Red Wolves,One Knoxville,3.8,1.21
Topbet2,2025-07-06,Chattanooga Red Wolves SC,One Knoxville SC,3.2,1.26
Oktagon3,2025-07-06,Chattanooga Red Wolves,One Knoxville,3.8,1.21
Mystake286,2025-07-06,Chattanooga Red Wolves,One Knoxville  ,3.3,1.29
Soccer3,2025-07-06,Chattanooga Red Wolves,One Knoxville,3.5,1.21
Superbet10,2025-07-06,Chattanooga Red Wolves,One Knoxville,3.3,1.26
Balkan3,2025-07-06,Chattanooga Red Wolves SC,One Knoxville SC,3.25,1.24
Mozzart2,2025-07-06,Chattanooga RW,One Knoxville,2.8,1.37
