ID,vreme,domaci,gosti,1,X,2
Mozzart0,2025-07-05 20:00:00,Internacional Limeira,Cascavel,1.57,3.6,6.0
Topbet16,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.58,3.6,5.7
Volcano678,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.56,3.5,5.5
Planetwin4,2025-07-05 20:00:00,Inter De Limeira,Cascavel,1.53,3.61,5.6
Pinbet9,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.57,3.6,5.8
Betole9,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.55,3.5,5.5
Mystake115,2025-07-05 20:00:00,Inter de Limeira SP,Cascavel PR,1.55,3.45,5.35
Balkan15,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.55,3.5,5.55
Soccer4,2025-07-05 20:00:00,Internacional de Limeira,Cascavel,1.62,3.45,4.95
Superbet15,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.58,3.6,5.25
Oktagon12,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.91,3.05,3.9
