ID,vreme,domaci,gosti,GG,NG
Betole164,2025-07-13 20:00:00,Horizonte,Ferroviario,2.3,1.52
Balkan165,2025-07-13 20:00:00,Horizonte FC CE,Ferroviario AC CE,1.9,1.75
Soccer135,2025-07-13 20:00:00,Horizonte,Ferroviario,2.3,1.55
Mystake168,2025-07-13 20:00:00,Horizonte CE,Ferroviario CE,1.0,1.0
Planetwin62,2025-07-13 20:00:00,Horizonte,Ferroviario,2.82,1.35
Mozzart115,2025-07-13 20:00:00,Horizonte CE,Ferroviario CE,2.2,1.6
Topbet137,2025-07-13 20:00:00,Horizonte FC CE,Ferroviario AC CE,2.4,1.5
Oktagon164,2025-07-13 20:00:00,Horizonte,Ferroviario,2.18,1.57
Volcano710,2025-07-13 20:00:00,Horizonte FC CE,Ferroviario AC CE,2.18,1.57
Superbet156,2025-07-13 20:00:00,Horizonte CE,Ferroviario CE,2.32,1.54
