ID,vreme,domaci,gosti,1,X2
Mozzart0,2025-07-05 20:00:00,Internacional Limeira,Cascavel,1.57,2.25
Topbet16,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.62,2.09
Volcano678,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.58,2.18
Planetwin4,2025-07-05 20:00:00,Inter De Limeira,Cascavel,1.52,2.29
Pinbet9,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.59,2.14
Betole9,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.57,2.15
Mystake115,2025-07-05 20:00:00,Inter de Limeira SP,Cascavel PR,1.55,2.22
Balkan15,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.63,2.01
Soccer4,2025-07-05 20:00:00,Internacional de Limeira,Cascavel,1.63,2.02
Superbet15,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.66,2.02
Oktagon12,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.91,1.76
