ID,vreme,domaci,gosti,D II 0-1,D II 2+
Volcano313,2025-07-10 20:00:00,Borac Banja Luka,FC Santa Coloma,1.0,1.0
Topbet16,2025-07-10 20:00:00,FK Borac Banja Luka,FC Santa Coloma,1.85,1.85
Mystake818,2025-07-10 20:00:00,Borac Banja Luka,Santa Coloma,1.0,1.0
Balkan20,2025-07-10 20:00:00,FK Borac Banja Luka,FC Santa Coloma,1.52,2.1
Soccer18,2025-07-10 20:00:00,Borac Banja Luka,FC Santa Coloma,1.87,1.83
Pinbet22,2025-07-10 20:00:00,Borac Banja Luka,FC Santa Coloma,1.0,1.0
Oktagon18,2025-07-10 20:00:00,Borac Banja Luka,FC Santa Coloma,1.8,1.87
Superbet19,2025-07-10 20:00:00,Borac Banja Luka,FC Santa Coloma,1.0,1.0
Mozzart18,2025-07-10 20:00:00,Borac Banja Luka,Santa Coloma,1.96,1.75
Betole18,2025-07-10 20:00:00,Borac Banja Luka,FC Santa Coloma,1.8,1.87
