ID,vreme,domaci,gosti,GG3+,ne GG3+
Volcano748,2025-06-26 18:30:00,Skála,B36 Torshavn 2,2.18,1.0
Balkan17,2025-06-26 18:30:00,Skala IF,B36 Torshavn II,2.7,1.0
Topbet19,2025-06-26 18:30:00,Skala IF,B36 Torshavn II,1.0,1.0
Superbet38,2025-06-26 18:30:00,Skala IF,B36 Torshavn II,2.15,1.62
Mozzart19,2025-06-26 18:30:00,Skala IF,B36 Torshavn II,2.2,1.0
Mystake628,2025-06-26 18:30:00,Skala IF,B36 Torshavn II,1.0,1.0
