ID,vreme,domaci,gosti,1&3+,ne1&3+
Soccer80,2025-07-09 20:30:00,Rayo Zuliano,Heroes de Falcon,1.45,1.0
Volcano382,2025-07-09 20:30:00,Rayo Zuliano,Heroes de Falcon,1.0,1.0
Balkan90,2025-07-09 20:30:00,Departivo Rayo Zuliano,Heroes de Falcon,1.0,1.0
Betole92,2025-07-09 20:30:00,Rayo Zuliano,Heroes de Falcon,1.37,2.62
Mozzart72,2025-07-09 20:30:00,Rayo Zuliano,Heroes de Falcon,1.0,1.0
Topbet75,2025-07-09 20:30:00,Departivo Rayo Zuliano,Heroes de Falcon,1.0,1.0
Oktagon92,2025-07-09 20:30:00,Rayo Zuliano,Heroes de Falcon,1.82,1.0
Superbet85,2025-07-09 20:30:00,Deportivo Rayo Zuliano,Heroes de Falcon,1.0,1.0
