ID,vreme,domaci,gosti,ug 0-2,ug 3+
Pinbet26,2025-07-08 19:30:00,Stamford,Peterborough,3.9,1.2
Mozzart14,2025-07-08 19:30:00,Stamford,Peterborough,3.6,1.2
Superbet18,2025-07-08 19:30:00,Stamford,Peterborough United,1.0,1.0
Balkan24,2025-07-08 19:30:00,Stamford AFC,Peterborough United,3.75,1.23
Soccer28,2025-07-08 19:30:00,Stamford,Peterborough,3.85,1.22
Volcano226,2025-07-08 19:30:00,Stamford,Peterborough Utd.,1.0,1.0
Oktagon13,2025-07-08 19:30:00,Stamford,Peterborough,3.85,1.2
Mystake655,2025-07-08 19:30:00,Stamford,Peterborough United,1.0,1.0
Topbet24,2025-07-08 19:30:00,Stamford AFC,Peterborough United,2.8,1.4
Betole15,2025-07-08 19:30:00,Stamford,Peterborough,3.85,1.2
