ID,vreme,domaci,gosti,1,X,2
Betole121,2025-06-26 02:00:00,Inter,River Plate,2.15,3.15,3.4
Pinbet109,2025-06-26 02:00:00,Inter,River Plate,2.23,3.15,3.55
Maxbet101,2025-06-26 02:00:00,Inter,River Plate,2.2,3.3,3.5
Topbet100,2025-06-26 02:00:00,Inter Milano,CA River Plate (ARG),2.2,3.2,2.9
Soccer106,2025-06-26 02:00:00,Inter,River Plate,2.15,3.35,3.6
Mystake733,2025-06-26 02:00:00,Inter Milan,CA River Plate (ARG),2.15,3.15,3.95
Volcano706,2025-06-26 02:00:00,Inter M.,River Plate,2.18,3.2,3.85
Mozzart88,2025-06-26 02:00:00,Inter,River Plate,2.15,3.4,3.4
Superbet135,2025-06-26 02:00:00,Inter Milano,CA River Plate,2.15,3.1,3.8
Oktagon121,2025-06-26 02:00:00,Inter,River Plate,2.18,3.15,3.4
Balkan110,2025-06-26 02:00:00,Inter Milano,CA River Plate (ARG),2.15,3.15,3.7
Planetwin42,2025-06-26 02:00:00,Inter,River Plate,2.2,3.22,3.59
