ID,vreme,domaci,gosti,1,X,2
Mystake550,2025-06-30 20:00:00,Inter Milan,Fluminense RJ,1.65,3.9,5.7
Topbet28,2025-06-30 20:00:00,Inter Milano,Fluminense FC RJ,1.72,3.75,5.3
Soccer30,2025-06-30 20:00:00,Inter Milan,Fluminense,1.73,3.65,5.3
Balkan32,2025-06-30 20:00:00,Inter Milano,Fluminense FC RJ,1.77,3.65,5.0
Betole40,2025-06-30 20:00:00,Inter,Fluminense,1.8,3.35,5.1
Oktagon40,2025-06-30 20:00:00,Inter,Fluminense,1.78,3.35,5.2
Volcano513,2025-06-30 20:00:00,Inter M.,Fluminense,1.73,3.75,5.4
Superbet41,2025-06-30 20:00:00,Inter Milano,Fluminense,1.71,3.55,5.5
Mozzart27,2025-06-30 20:00:00,Inter,Fluminense,1.7,3.5,5.5
Pinbet29,2025-06-30 20:00:00,Inter,Fluminense,1.73,3.5,5.7
