ID,vreme,domaci,gosti,GG,NG
Pinbet79,2025-06-26,RC New Jersey,LVU Rush,1.85,1.76
Betole88,2025-06-26,RC New Jersey,LVU Rush,2.02,1.67
Oktagon88,2025-06-26,RC New Jersey,LVU Rush,2.0,1.69
Balkan82,2025-06-26,Real Central New Jersey,LVU Rush,1.65,2.0
Soccer83,2025-06-26,RC New Jersey,LVU Rush,1.85,1.85
Mozzart64,2025-06-26,RC New Jersey,LVU Rush,1.75,1.85
Maxbet71,2025-06-26,RC New Jersey,LVU Rush,1.95,1.63
Planetwin13,2025-06-26,RC New Jersey,LVU Rush,2.03,1.66
Volcano208,2025-06-26,Real Central New Jersey,LVU Rush,1.99,1.69
Topbet73,2025-06-26,Real Central New Jersey,LVU Rush,1.9,1.8
