ID,vreme,domaci,gosti,G II 0-1,G II 2+
Oktagon8,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,1.2,3.95
Topbet6,2025-06-26 13:00:00,Yunnan Yukun,Henan,1.32,3.2
Balkan8,2025-06-26 13:00:00,Yunnan Yukun,Henan,1.15,4.15
Mystake577,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,1.0,1.0
Soccer6,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,1.23,3.75
Superbet6,2025-06-26 13:00:00,Yunnan Yukun,Henan FC,1.0,1.0
Planetwin2,2025-06-26 13:00:00,Yunnan Yukun,Henan S.L.,1.21,4.03
Betole8,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,1.2,3.95
Mozzart6,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan,1.15,4.8
