ID,vreme,domaci,gosti,1,X,2
Soccer1,2025-07-06,Miami FC,FC Tulsa,2.35,3.6,2.6
Planetwin11,2025-07-06,Miami FC,Tulsa,2.63,3.32,2.45
Volcano50,2025-07-06,Miami FC,FC Tulsa,2.5,3.25,2.5
Betole1,2025-07-06,Miami FC,FC Tulsa,2.7,3.25,2.3
Topbet1,2025-07-06,Miami FC,FC Tulsa,2.55,3.4,2.5
Oktagon1,2025-07-06,Miami FC,FC Tulsa,2.55,3.25,2.45
Pinbet1,2025-07-06,Miami FC,FC Tulsa,2.85,3.35,2.37
Mystake231,2025-07-06,Miami,Tulsa,2.5,3.4,2.45
Superbet12,2025-07-06,Miami FC,Tulsa,2.52,3.35,2.47
Balkan0,2025-07-06,Miami FC,FC Tulsa,2.3,3.4,2.6
Mozzart1,2025-07-06,Miami,Tulsa,2.4,3.3,2.75
