ID,vreme,domaci,gosti,1,X2
Soccer1,2025-07-05 16:00:00,Yelimay Semey,Tobol,2.42,1.48
Superbet11,2025-07-05 16:00:00,Yelimay Semey,Tobol Kostanay,2.32,1.48
Balkan4,2025-07-05 16:00:00,FC Yelimai,Tobol Kostanay,2.45,1.49
Topbet4,2025-07-05 16:00:00,FC Yelimai,Tobol Kostanay,1.95,1.67
Pinbet8,2025-07-05 16:00:00,Yelimay Semey,Tobol,2.3,1.56
Volcano249,2025-07-05 16:00:00,Elimai FC,Tobol Kostanay,2.45,1.46
Oktagon17,2025-07-05 16:00:00,Yelimay Semey,Tobol,2.47,1.46
Mystake670,2025-07-05 16:00:00,Elimai ,Tobol Kostanay,2.4,1.51
Betole25,2025-07-05 16:00:00,Yelimay Semey,Tobol,2.5,1.45
Mozzart3,2025-07-05 16:00:00,Yelimay Semey,Tobol Kostanay,2.5,1.47
Planetwin3,2025-07-05 16:00:00,Yelimay Semey,Tobol,2.75,1.39
