ID,vreme,domaci,gosti,1X,2
Balkan2,2025-07-13 22:30:00,Deportes Temuco,Deportes Concepcion,1.44,2.5
Planetwin0,2025-07-13 22:30:00,Dep.Temuco,D. Concepcion,1.32,3.08
Betole0,2025-07-13 22:30:00,Deportes Temuco,D. Concepcion,1.55,2.22
Topbet2,2025-07-13 22:30:00,Deportes Temuco,Deportes Concepcion,1.48,2.5
